correctness,style,response_time,model_name,temperature,difficulty
0.0,0.1,0.965246319770813,llama3.2:3b,0.3,easy
1.0,0.1,0.9471256903239659,llama3.2:3b,0.3,medium
0.1,0.05,0.9497264623641968,llama3.2:3b,0.3,medium
0.4,0.2,0.9970558030264718,llama3.2:3b,0.3,hard
0.25,0.2,0.9603874342782157,llama3.2:3b,0.3,easy
1.0,0.8,0.9400421721594674,llama3.2:3b,0.3,easy
0.0,0.4,0.47025784424373085,llama3.2:3b,0.3,hard
0.95,0.3,0.9304805653435844,llama3.2:3b,0.3,easy
0.8,0.25,0.9508676358631679,llama3.2:3b,0.3,easy
1.0,0.4,0.9261084284101214,llama3.2:3b,0.3,hard
0.8,0.4,0.9182406834193638,llama3.2:3b,0.3,easy
0.8,0.3,0.9029924188341413,llama3.2:3b,0.3,medium
0.1,0.4,0.9299174887793404,llama3.2:3b,0.3,medium
0.0,0.6,0.9178321872438703,llama3.2:3b,0.3,hard
1.0,0.2,0.9329817805971418,llama3.2:3b,0.3,medium
0.3,0.2,0.925567661012922,llama3.2:3b,0.3,hard
0.3,0.2,0.9232512201581683,llama3.2:3b,0.3,medium
0.3,0.2,0.9144137075969151,llama3.2:3b,0.3,hard
